,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
593,1688688000000,IJE,İŞ PORTFÖY EFON SERBEST (DÖVİZ) ÖZEL FON,27.711371,15488812.0,6.0,429216220.82,-
594,1688688000000,IJF,AZİMUT PORTFÖY EREN SERBEST ÖZEL FON,4.004337,124897808.0,2.0,500132950.1,-
595,1688688000000,IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,2.216097,10074013.0,397.0,22324991.03,-
596,1688688000000,IJI,İSTANBUL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON ),1.794732,24157213.0,61.0,43355724.21,-
597,1688688000000,IJK,İSTANBUL PORTFÖY KEREM SERBEST (DÖVİZ) ÖZEL FON,26.501976,6202029.0,3.0,164366023.15,-
598,1688688000000,IJL,İSTANBUL PORTFÖY SPİCA SERBEST (DÖVİZ) FON,25.961759,2482899.0,13.0,64460425.13,-
599,1688688000000,IJM,İŞ PORTFÖY YAĞMUR SERBEST ÖZEL FON,0.0,0.0,0.0,0.0,-
600,1688688000000,IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,2.447243,80725768.0,8509.0,197555565.57,-
601,1688688000000,IJS,İŞ PORTFÖY TÜRK REASÜRANS SERBEST ÖZEL FON,2.009266,173496971.0,1.0,348601530.16,-
602,1688688000000,IJT,İŞ PORTFÖY TARIM SERBEST FON,3.298692,200203825.0,2008.0,660410705.73,-
603,1688688000000,IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,1.488823,572257564.0,210.0,851990183.28,-
604,1688688000000,IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,3.265209,64995904.0,7248.0,212225224.88,-
605,1688688000000,IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,3.802835,57518410.0,6758.0,218733012.69,-
606,1688688000000,IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,2.986834,168627411.0,10535.0,503662164.02,-
607,1688688000000,ILC,İŞ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ) FON,25.81528,19021481.0,161.0,491044853.15,-
608,1688688000000,ILE,İŞ PORTFÖY ANADOLU SİGORTA  SERBEST (TL) ÖZEL FON,1.377856,2225384941.0,1.0,3066260214.49,-
609,1688688000000,ILH,İŞ PORTFÖY BİRİNCİ SERBEST (TL) FON,1.068707,3190857474.0,244.0,3410093176.83,-
610,1688688000000,ILI,İŞ PORTFÖY İKİNCİ SERBEST (TL) FON,1.316415,11000000.0,11.0,14480561.86,-
611,1688688000000,ILJ,İSTANBUL PORTFÖY GSB SERBEST (DÖVİZ) ÖZEL FON,25.95925,9206911.0,1.0,239004505.34,-
612,1688688000000,ILM,İSTANBUL PORTFÖY ONUNCU SERBEST FON,2.456292,32569056.0,9.0,79999101.22,-
613,1688688000000,ILP,İŞ PORTFÖY POLMİNE SERBEST (DÖVİZ) ÖZEL FON,25.802778,13082772.0,6.0,337571861.34,-
614,1688688000000,ILR,İŞ PORTFÖY SALUR SERBEST ÖZEL FON,1.63525,190325595.0,2.0,311229871.97,-
615,1688688000000,ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,2.443336,77642247.0,3412.0,189706114.34,-
616,1688688000000,IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,2.731834,164840890.0,28.0,450317901.08,-
617,1688688000000,IMH,İŞ PORTFÖY ANADOLU HAYAT EMEKLİLİK SERBEST ÖZEL FON,3.480725,58171355.0,1.0,202478461.2,-
618,1688688000000,IMO,İŞ PORTFÖY ODAK SERBEST ÖZEL FON,3.149155,377920212.0,3.0,1190129378.64,-
619,1688688000000,IMS,İŞ PORTFÖY MERMER SERBEST ÖZEL FON,5.503682,51323550.0,4.0,282468514.3,-
620,1688688000000,IMT,İŞ PORTFÖY TOROS SERBEST (DÖVİZ) ÖZEL FON,28.099356,8385174.0,4.0,235617988.73,-
621,1688688000000,IMY,İŞ PORTFÖY SKYLARK SERBEST (DÖVİZ) ÖZEL FON,31.072901,22869719.0,6.0,710628509.8,-
